Gene name,Mutated samples,Samples tested
H3F3A,57,167
H3F3A_ENST00000366814,36,167
H3F3A_ENST00000366815,36,167
H3F3A_ENST00000366816,36,167
NF2,23,135
NF2_ENST00000413209,21,135
NF2_ENST00000403435,21,135
NF2_ENST00000397789,21,135
NF2_ENST00000403999,21,135
NF2_ENST00000334961,21,135
NF2_ENST00000361676,21,135
NF2_ENST00000361166,21,135
NF2_ENST00000353887,21,135
NF2_ENST00000361452,21,135
KMT2C_ENST00000355193,17,31
KMT2C,17,31
HLA-A_ENST00000376806,16,29
HLA-A_ENST00000376802,16,29
HLA-A,16,29
HLA-A_ENST00000376809,16,29
HLA-A_ENST00000638375,16,29
TNFRSF14_ENST00000409119,12,30
NOTCH2,12,31
TNFRSF14,12,30
FSCB,11,26
CDKN1A_ENST00000448526,10,30
CDKN1A_ENST00000615513,10,30
HLA-B,9,26
HLA-B_ENST00000639848,9,26
PER1_ENST00000354903,8,26
ZNF276_ENST00000289816,8,17
SMARCB1_ENST00000644036,8,44
FANCA_ENST00000568369,8,30
FANCA,8,30
PER1,8,26
PER1_ENST00000581082,8,26
TP53_ENST00000359597,7,87
SMARCB1_ENST00000407422,7,44
SMARCB1_ENST00000263121,7,44
TP53_ENST00000413465,7,87
SMARCB1,7,44
TP53_ENST00000504290,6,87
TP53_ENST00000620739,6,87
TP53_ENST00000455263,6,87
TP53_ENST00000619485,6,87
TP53_ENST00000618944,6,87
TP53_ENST00000610538,6,87
TP53_ENST00000610292,6,87
TP53_ENST00000445888,6,87
TP53,6,87
TP53_ENST00000615910,6,87
IDH1,6,120
TP53_ENST00000619186,6,87
TP53_ENST00000622645,6,87
TP53_ENST00000510385,6,87
TP53_ENST00000610623,6,87
TP53_ENST00000504937,6,87
TP53_ENST00000617185,6,87
TP53_ENST00000420246,6,87
ERBB2_ENST00000584601,5,35
ERBB2_ENST00000541774,5,35
ERBB2_ENST00000578199,5,35
ERBB2_ENST00000406381,5,35
FANCM,4,26
TCF4,4,26
FANCM_ENST00000542564,4,26
NF1,4,82
TCF4_ENST00000566286,3,26
TCF4_ENST00000568673,3,26
SLCO1B3_ENST00000381545,3,26
RNF213_ENST00000508628,3,26
CIITA,3,27
TCF4_ENST00000561992,3,26
BMPR1A,3,30
HSP90AB1_ENST00000353801,3,26
IDH1_ENST00000446179,3,120
TCF4_ENST00000636400,3,26
CHEK1_ENST00000438015,3,30
ZNF708,3,26
FLCN_ENST00000389169,3,30
RACK1_ENST00000511566,3,26
MET_ENST00000397752,3,35
TENT5C,3,31
AC011604.2_ENST00000381541,3,12
HSP90AB1_ENST00000620073,3,26
NF1_ENST00000356175,3,82
CIITA_ENST00000324288,3,27
CIITA_ENST00000618207,3,27
RACK1_ENST00000511900,3,26
TCF4_ENST00000543082,3,26
TCF4_ENST00000626584,3,26
TCF4_ENST00000635822,3,26
HSP90AB1_ENST00000371646,3,26
RACK1_ENST00000514455,3,26
DLC1_ENST00000316609,3,26
RACK1_ENST00000504726,3,26
TCF4_ENST00000540999,3,26
CIITA_ENST00000381835,3,27
RHPN2,3,26
TCF4_ENST00000616053,3,26
DLC1,3,26
CHEK1_ENST00000532449,3,30
CHEK1,3,30
RACK1,3,26
TCF4_ENST00000537578,3,26
TCF4_ENST00000544241,3,26
TCF4_ENST00000564403,3,26
SLCO1B3,3,26
TCF4_ENST00000356073,3,26
IDH1_ENST00000345146,3,120
TCF4_ENST00000568740,3,26
DLC1_ENST00000512044,3,26
HSP90AB1,3,26
TCF4_ENST00000638154,3,26
TCF4_ENST00000567880,3,26
RACK1_ENST00000376817,3,26
TCF4_ENST00000566279,3,26
RNF213,3,26
TCF4_ENST00000354452,3,26
TCF4_ENST00000564999,3,26
AC011604.2,3,12
TCF4_ENST00000629387,3,26
TCF4_ENST00000565018,3,26
TCF4_ENST00000564228,3,26
FLCN,3,30
MET,3,35
GSTM5_ENST00000369812,2,26
SDHA,2,30
CYP3A5_ENST00000339843,2,26
PMS1_ENST00000418224,2,30
ADGRL3_ENST00000508693,2,26
AL160272.2,2,11
PTPN13_ENST00000511467,2,72
PTPN13_ENST00000427191,2,72
BRAF,2,96
ERBB4,2,33
SIX4,2,26
DMD_ENST00000620040,2,26
PKHD1,2,26
PTCH1,2,34
PTCH1_ENST00000430669,2,34
LRP1B,2,30
ADGRL3_ENST00000512091,2,26
ARID1A_ENST00000615191,2,32
FANCI,2,27
ARID1A_ENST00000374152,2,32
MEF2B,2,29
ARID1B_ENST00000636930,2,31
SOX10_ENST00000360880,2,26
POLR2F,2,10
ARID1A_ENST00000457599,2,32
ADGRL3_ENST00000506720,2,26
ADGRL3,2,26
KDM5B,2,26
PIK3R1,2,81
EGFR,2,84
EGFR_ENST00000638463,2,84
SH2B3,2,31
KMT2D,2,31
TLR4_ENST00000394487,2,26
ADGRL3_ENST00000508946,2,26
NOTCH2_ENST00000579475,2,31
GSTM5,2,26
SDHA_ENST00000504309,2,30
XPA,2,27
NOTCH3,2,30
CDKL2_ENST00000429927,2,9
PTPN13_ENST00000316707,2,72
EGFR_ENST00000454757,2,84
EGFR_ENST00000455089,2,84
PTPN13_ENST00000411767,2,72
DMD_ENST00000378677,2,26
MEF2B_ENST00000410050,2,29
ADGRL3_ENST00000509896,2,26
PMS1_ENST00000432292,2,30
SDHA_ENST00000617470,2,30
ERBB4_ENST00000436443,2,33
CYP3A5,2,26
PRKDC,2,26
PTCH1_ENST00000375274,2,34
ANO7_ENST00000402430,2,9
CDKL2,2,9
ANO7,2,9
PDGFRA,2,82
PMS1_ENST00000447232,2,30
PMS1_ENST00000618056,2,30
SH2B3_ENST00000538307,2,31
MEF2B_ENST00000409224,2,29
PMS1_ENST00000409823,2,30
PRKDC_ENST00000338368,2,26
BORCS8-MEF2B_ENST00000514819,2,11
BORCS8-MEF2B,2,11
TLR4_ENST00000355622,2,26
KDM5B_ENST00000367265,2,26
MAN1B1_ENST00000535144,2,26
PTCH1_ENST00000437951,2,34
ADGRL3_ENST00000506746,2,26
HSP90AA1,2,26
PTPN13,2,72
AC058822.1,2,11
ADGRL3_ENST00000506700,2,26
ARID1A_ENST00000430799,2,32
FANCI_ENST00000300027,2,27
HSP90AA1_ENST00000216281,2,26
DMD_ENST00000619831,2,26
GSTM5_ENST00000369813,2,26
ADGRL3_ENST00000507625,2,26
ARID1B,2,31
PMS1,2,30
ADGRL3_ENST00000507164,2,26
PIK3R1_ENST00000521657,2,81
EGFR_ENST00000342916,2,84
PMS1_ENST00000624204,2,30
MEF2B_ENST00000409447,2,29
MAN1B1,2,26
CYP3A5_ENST00000439761,2,26
ADGRL3_ENST00000511324,2,26
ARID1B_ENST00000350026,2,31
ADGRL3_ENST00000514157,2,26
TLR4_ENST00000472304,2,26
ADGRL3_ENST00000514996,2,26
SDHA_ENST00000510361,2,30
ADGRL3_ENST00000504896,2,26
RANBP2,2,26
TLR4,2,26
ERBB4_ENST00000402597,2,33
SOX10,2,26
POLR2F_ENST00000405557,2,10
EGFR_ENST00000344576,2,84
ARID1A,2,32
DMD,2,26
ATRX,1,85
PIK3CA,1,90
DEPDC5_ENST00000382112,1,26
ETV4_ENST00000393664,1,27
APC_ENST00000508376,1,36
ESRP1_ENST00000454170,1,26
EPHA7_ENST00000369297,1,30
SMAD2,1,31
NR4A2_ENST00000409572,1,26
HNF1A_ENST00000617366,1,35
EPHA4,1,26
HNF1A_ENST00000257555,1,35
CDK6_ENST00000424848,1,31
PBRM1_ENST00000356770,1,31
GATA4_ENST00000622443,1,26
SLITRK6_ENST00000643778,1,26
CTNNB1_ENST00000645900,1,35
TP63_ENST00000456148,1,29
MSH6_ENST00000540021,1,35
RUNX1_ENST00000399240,1,33
SOX9,1,29
MRE11,1,30
DEPDC5_ENST00000400248,1,26
MSH6_ENST00000622629,1,35
TSC2_ENST00000350773,1,32
DEPDC5_ENST00000644331,1,26
TSC2,1,32
SMAD2_ENST00000356825,1,31
CTNNB1_ENST00000642836,1,35
KAT6B_ENST00000372711,1,26
COL1A1,1,26
HNF1A_ENST00000615446,1,35
CTNNB1_ENST00000433400,1,35
CYP2D6_ENST00000645361,1,26
PRDM1_ENST00000369091,1,31
KAT6B,1,26
TSC2_ENST00000642936,1,32
ROS1,1,32
NBN_ENST00000409330,1,31
NTRK3_ENST00000357724,1,33
ERBB3_ENST00000553131,1,32
TSC1_ENST00000642646,1,34
FANCB_ENST00000324138,1,26
ABL1,1,34
SETD2,1,32
NFE2L2,1,31
HNF1A_ENST00000541395,1,35
TP63_ENST00000392461,1,29
CTNNB1_ENST00000646381,1,35
EPHA3_ENST00000494014,1,32
STAT6_ENST00000537215,1,27
INPP4B,1,30
FANCD2_ENST00000419585,1,27
DEPDC5_ENST00000646969,1,26
PTK2_ENST00000520151,1,26
PBRM1_ENST00000409767,1,31
CCDC40,1,9
ESPN_ENST00000377828,1,9
ABCC5_ENST00000446941,1,9
ARNTL2_ENST00000395901,1,9
FHDC1_ENST00000260008,1,9
BID_ENST00000615414,1,9
KMT2E_ENST00000257745,1,9
CNKSR2_ENST00000642359,1,9
DNAH6,1,9
CCNB2,1,9
EMC10,1,9
CNKSR2_ENST00000644295,1,9
RMDN2_ENST00000354545,1,9
MATN2,1,9
ARNTL2_ENST00000546179,1,9
CNKSR2_ENST00000645245,1,9
SDK1,1,9
BID_ENST00000399765,1,9
KIF16B,1,9
IKBKB_ENST00000416505,1,9
ARMC10,1,9
TSPEAR_ENST00000613245,1,9
DST_ENST00000370788,1,9
RAB37_ENST00000613645,1,9
GPN1_ENST00000515877,1,9
DST_ENST00000361203,1,9
FLG,1,9
EGFR_ENST00000420316,1,84
FGFR2_ENST00000360144,1,81
FGFR2,1,81
TERT,1,64
FGFR2_ENST00000358487,1,81
FGFR2_ENST00000351936,1,81
CAV1_ENST00000393467,1,26
MAP3K9_ENST00000611979,1,26
PTK2B_ENST00000346049,1,26
MEN1_ENST00000377326,1,51
MAP3K9_ENST00000553414,1,26
LMO3_ENST00000537304,1,26
MEN1_ENST00000377313,1,51
ATM_ENST00000452508,1,35
ACSL6_ENST00000431707,1,26
TSC1_ENST00000403810,1,34
RNF213_ENST00000319921,1,26
MTHFR,1,26
LMO3_ENST00000441439,1,26
DEPDC5_ENST00000642974,1,26
ESRP1,1,26
DEPDC5_ENST00000645711,1,26
HNF1A,1,35
MTHFR_ENST00000376583,1,26
AFF1_ENST00000544085,1,26
RUNX1_ENST00000344691,1,33
MAP3K9_ENST00000554146,1,26
MEN1_ENST00000315422,1,51
ERBB3_ENST00000415288,1,32
SPTAN1_ENST00000372731,1,26
MRE11_ENST00000407439,1,30
ESRP1_ENST00000358397,1,26
CYP2D6_ENST00000359033,1,26
FANCD2,1,27
RSPO2_ENST00000517781,1,26
ALOX12B,1,29
ZMYM2_ENST00000382871,1,26
BCOR_ENST00000397354,1,32
LMO3_ENST00000541846,1,26
NRP2_ENST00000272849,1,26
STAT6_ENST00000454075,1,27
SOX9_ENST00000645356,1,29
TSC2_ENST00000643946,1,32
TSC1_ENST00000440111,1,34
NTRK3_ENST00000626019,1,33
PTK2_ENST00000521059,1,26
FYN_ENST00000229471,1,29
GATA6,1,26
TSC2_ENST00000644335,1,32
ARHGAP26,1,26
TCF4_ENST00000636822,1,26
ESRP1_ENST00000423620,1,26
PBRM1,1,31
PTCH1_ENST00000421141,1,34
MEN1,1,51
EPHB6_ENST00000422643,1,26
ADAMTSL3,1,26
RBM10_ENST00000377604,1,30
GMPS_ENST00000295920,1,26
CHEK1_ENST00000544373,1,30
MYH11_ENST00000300036,1,26
MYBPC1_ENST00000392934,1,9
ABCC5_ENST00000265586,1,9
C11orf65_ENST00000525729,1,10
DOCK7_ENST00000454575,1,9
KIF16B_ENST00000354981,1,9
RAB37_ENST00000340415,1,9
TSPEAR_ENST00000614657,1,9
EXOC2,1,9
SPECC1L_ENST00000437398,1,9
ARMC10_ENST00000441711,1,9
SPECC1L,1,9
CCNB2_ENST00000559622,1,9
ACSL1_ENST00000281455,1,9
CNGA3,1,9
TRIB3,1,9
MATN2_ENST00000520016,1,9
ABCC5_ENST00000382494,1,9
ANO10_ENST00000350459,1,9
PRICKLE2,1,9
RP1,1,9
ANO10_ENST00000414522,1,9
DNAAF4,1,9
RMDN2,1,9
GPN1_ENST00000407583,1,9
LDLR,1,9
ARMC10_ENST00000428183,1,9
ACSL1_ENST00000504342,1,9
SDK1_ENST00000389531,1,9
GRIA3,1,9
QSOX1,1,9
RAD51C,1,13
ATP2A1_ENST00000395503,1,9
BID_ENST00000611040,1,9
