Gene name,Mutated samples,Samples tested
HIST2H4B,0,2937
ACACA_ENST00000617649,0,2937
ANKRD20A3,0,2937
ZNF488,0,2937
RASL10B,0,2937
MSMB_ENST00000581478,0,2937
USP17L8,0,2937
TBC1D3C,0,2937
RDM1_ENST00000616596,0,2937
HEATR9_ENST00000603870,0,2937
F8A3,0,2937
PRR20A,0,2937
MMP24OS_ENST00000456790,0,2937
CT45A9,0,2937
ZNF696_ENST00000521537,0,2937
USP17L23,0,2937
AC233724.17,0,2937
CRYAA2,0,2937
MRPL45,0,2937
STARD13_ENST00000439831,0,2937
CT45A8_ENST00000611438,0,2937
AC093323.1,0,2937
BECN2,0,2937
UBE2L5_ENST00000436446,0,2937
TMEM238L,0,2937
CTAG1B_ENST00000359887,0,2937
TAF15_ENST00000604841,0,2937
SMIM11B_ENST00000624758,0,2937
GPR179,0,2937
USP17L25,0,2937
H2BFS,0,2937
BRD3OS_ENST00000432807,0,2937
CCDC187_ENST00000624277,0,2937
CDY2B,0,2937
TP53TG3_ENST00000569420,0,2937
TMEM191C_ENST00000545656,0,2937
CT47A8,0,2937
NPIPA3_ENST00000526520,0,2937
FAM156A_ENST00000611661,0,2937
ITM2C_ENST00000620962,0,2937
MT1F_ENST00000568475,0,2937
CISD3,0,2937
TLE7,0,2937
PRR20D,0,2937
TP53TG3F_ENST00000617705,0,2937
HNRNPCL4,0,2937
SOCS7_ENST00000613678,0,2937
AP000790.2,0,2937
AC233724.18,0,2937
LGALS7,0,2937
PPIAL4A,0,2937
SYCE3_ENST00000402753,0,2937
GDF2,0,2937
TSPY4_ENST00000426950,0,2937
HGH1,0,2937
FAM156B_ENST00000616419,0,2937
RDM1_ENST00000619262,0,2937
PGA4_ENST00000544899,0,2937
PCGF2_ENST00000620225,0,2937
FP565260.3,0,2937
SMN2,0,2937
PCGF2,0,2937
POTEB3,0,2937
NPIPA3_ENST00000531598,0,2937
CCL4L2_ENST00000617416,0,2937
SYNRG_ENST00000619541,0,2937
SERF1B,0,2937
PCGF2_ENST00000618941,0,2937
CCL3L1,0,2937
RDM1_ENST00000639942,0,2937
USP17L11,0,2937
FAM230A_ENST00000615181,0,2937
ETFRF1_ENST00000554266,0,2937
DMRTC1_ENST00000596389,0,2937
PRR20B,0,2937
USP17L24_ENST00000622713,0,2937
MAGEA2_ENST00000620710,0,2937
CTAGE1_ENST00000525417,0,2937
DUX4,0,2937
NCOA4_ENST00000579039,0,2937
RGPD6_ENST00000330331,0,2937
CCL4L2_ENST00000620732,0,2937
TBC1D3L_ENST00000617678,0,2937
AC073111.5,0,2937
HIST2H2AA3,0,2937
SOCS7,0,2937
FAM156A_ENST00000612915,0,2937
USP17L3,0,2937
CTAG1A,0,2937
AC138969.1_ENST00000331436,0,2937
HNRNPCL3,0,2937
DDX52,0,2937
AL136373.1,0,2937
AC126755.2_ENST00000327792,0,2937
LHX1,0,2937
PPIAL4F,0,2937
PCGF2_ENST00000618506,0,2937
CCL4_ENST00000621626,0,2937
FAM156B_ENST00000416841,0,2937
USP17L20_ENST00000613757,0,2937
NAA60_ENST00000615865,0,2937
SLC12A5_ENST00000626701,0,2937
MT-ATP8,0,2937
SMIM6,0,2937
FAM237B,0,2937
AL845331.2,0,2937
GDF10,0,2937
SMN2_ENST00000626847,0,2937
MYOCOS_ENST00000637642,0,2937
MARCOL,0,2937
ZNHIT3,0,2937
USP17L27,0,2937
C15orf61_ENST00000557807,0,2937
BOLA2,0,2937
C17orf50_ENST00000603305,0,2937
SMIM28,0,2937
CT47A1,0,2937
TMEM191C_ENST00000536718,0,2937
USP17L13_ENST00000616303,0,2937
NPW,0,2937
MLLT6_ENST00000620609,0,2937
KCNE1B_ENST00000622690,0,2937
TMEM88B,0,2937
RAB7B_ENST00000617070,0,2937
AATF,0,2937
CD24_ENST00000610952,0,2937
C19orf85,0,2937
AL022312.1,0,2937
FAM156A_ENST00000596733,0,2937
U2AF1L5_ENST00000639996,0,2937
MTRNR2L3,0,2937
MT1F,0,2937
NPY4R2_ENST00000613306,0,2937
CCL5,0,2937
MTRNR2L8,0,2937
TBC1D3G,0,2937
GNG14_ENST00000640117,0,2937
PIGW,0,2937
USP17L24,0,2937
SCGB1C2,0,2937
CSAG3_ENST00000599845,0,2937
NCOA4,0,2937
CD24_ENST00000619133,0,2937
TBC1D3F,0,2937
CCL14_ENST00000618404,0,2937
SMN2_ENST00000638794,0,2937
RDM1_ENST00000615378,0,2937
PRAMEF9,0,2937
MYO19,0,2937
SMIM1_ENST00000561886,0,2937
C10orf142_ENST00000623589,0,2937
HIST2H2AA4,0,2937
RGPD5,0,2937
GAS2L2_ENST00000604063,0,2937
FAM156A_ENST00000617970,0,2937
ETDC,0,2937
CBSL,0,2937
CCL4L2_ENST00000620098,0,2937
CRYAA2_ENST00000624932,0,2937
SMIM11B,0,2937
NPIPB3_ENST00000448012,0,2937
SMIM11B_ENST00000623661,0,2937
MAGEA2_ENST00000595583,0,2937
CCL15,0,2937
CDY2A,0,2937
HNF1B_ENST00000621123,0,2937
MAGEA2_ENST00000623438,0,2937
SCYGR3,0,2937
SMIM11B_ENST00000622934,0,2937
AL354761.1,0,2937
HEATR9,0,2937
CENPVL2,0,2937
AL032819.3,0,2937
CCL18,0,2937
PRORY,0,2937
AP003071.5,0,2937
AC233723.1,0,2937
PCGF2_ENST00000616129,0,2937
HSFX2,0,2937
ACACA_ENST00000614428,0,2937
CBSL_ENST00000624406,0,2937
PRR20C_ENST00000614894,0,2937
MTRNR2L10,0,2937
HNF1B_ENST00000617272,0,2937
STXBP1_ENST00000476182,0,2937
C13orf46,0,2937
AC073111.5_ENST00000641717,0,2937
PPIAL4E,0,2937
LYZL6,0,2937
IGKV2-40,0,2937
AC106774.7,0,2937
TCP11X1_ENST00000622971,0,2937
ZNF658_ENST00000621410,0,2937
NBPF26_ENST00000624419,0,2937
ATOX1_ENST00000520382,0,2937
GAS2L2,0,2937
FP565260.3_ENST00000620481,0,2937
MTRNR2L6,0,2937
MTRNR2L4,0,2937
AC106774.6,0,2937
MYO19_ENST00000620640,0,2937
SULT1A3_ENST00000563322,0,2937
SERF1B_ENST00000503931,0,2937
TBC1D3,0,2937
GNG14,0,2937
C17orf50,0,2937
ZFPL1_ENST00000525509,0,2937
SMN2_ENST00000511812,0,2937
ZNF658,0,2937
C1orf232_ENST00000635463,0,2937
NCOA4_ENST00000583565,0,2937
TAF15_ENST00000603777,0,2937
MBD3L4,0,2937
MLLT6,0,2937
RAB7B,0,2937
AL451007.3,0,2937
CENPVL1,0,2937
RGPD5_ENST00000393283,0,2937
SMIM10L2A,0,2937
C9orf16,0,2937
NCOA4_ENST00000585132,0,2937
RDM1_ENST00000619876,0,2937
FP565260.2,0,2937
NRGN_ENST00000412681,0,2937
ARHGAP23,0,2937
MAGEA2_ENST00000611557,0,2937
CPHXL,0,2937
ACACA,0,2937
MRPL45_ENST00000619548,0,2937
INAFM1,0,2937
MAGEA9B,0,2937
MRM1_ENST00000612760,0,2937
TMSB4Y,0,2937
ACACA_ENST00000612895,0,2937
RNF225,0,2937
MARVELD1,0,2937
SERF1B_ENST00000380751,0,2937
CBSL_ENST00000624934,0,2937
USP17L13,0,2937
AC126755.2_ENST00000531453,0,2937
FAM156B,0,2937
CTAG1A_ENST00000593606,0,2937
FP565260.6,0,2937
SMN2_ENST00000380742,0,2937
DUSP14,0,2937
SPATA31A3,0,2937
AL353572.3,0,2937
PIP4K2B,0,2937
NCOA4_ENST00000581486,0,2937
DHRS11_ENST00000611337,0,2937
ZCCHC10_ENST00000504170,0,2937
C17orf78_ENST00000611038,0,2937
C10orf142,0,2937
PCGF2_ENST00000611883,0,2937
AC233724.19,0,2937
U2AF1L5,0,2937
MAGEA2_ENST00000611674,0,2937
SMIM34B,0,2937
FP565260.4,0,2937
FO681492.1_ENST00000622861,0,2937
AC021072.1,0,2937
TBC1D3I,0,2937
FP565260.3_ENST00000623960,0,2937
FAM156A,0,2937
NBPF26_ENST00000615145,0,2937
SPATA31A7,0,2937
SERF1B_ENST00000506542,0,2937
CCL4L2_ENST00000610565,0,2937
KRTAP2-1,0,2937
FAM156A_ENST00000623782,0,2937
SNAP23_ENST00000626061,0,2937
RDM1_ENST00000612980,0,2937
TMEM240_ENST00000624426,0,2937
USP17L26_ENST00000610514,0,2937
KCNJ18,0,2937
AC025287.4,0,2937
TP53TG3B_ENST00000569741,0,2937
F8A2,0,2937
SYNRG_ENST00000616179,0,2937
OPN1MW3,0,2937
FAM240B,0,2937
LINC02203,0,2937
CCL4L2_ENST00000620576,0,2937
AC008162.2,0,2937
ANKRD20A1,0,2937
FAM220A_ENST00000578372,0,2937
PTAR1_ENST00000472967,0,2937
TMEM185A_ENST00000613273,0,2937
NBDY,0,2937
CT45A1_ENST00000594565,0,2937
NEU3_ENST00000526068,0,2937
NCOA4_ENST00000580070,0,2937
MAGEA2_ENST00000598543,0,2937
SSU72P7,0,2937
GAGE12B,0,2937
SLC48A1_ENST00000547002,0,2937
ACACA_ENST00000614438,0,2937
HNF1B,0,2937
CD24_ENST00000620405,0,2937
ARL17B,0,2937
NTMT1_ENST00000459968,0,2937
TINCR_ENST00000646160,0,2937
ZNHIT3_ENST00000620324,0,2937
CBSL_ENST00000618024,0,2937
SMIM6_ENST00000556126,0,2937
CCL23_ENST00000612516,0,2937
SMIM33,0,2937
TBC1D3E,0,2937
DEFA1,0,2937
CT45A5,0,2937
Z82206.1,0,2937
SMIM26_ENST00000608034,0,2937
SYNRG_ENST00000622045,0,2937
TBC1D3L,0,2937
BX088645.1,0,2937
ZFR2_ENST00000591712,0,2937
RDM1_ENST00000617591,0,2937
SRCIN1_ENST00000621492,0,2937
UBE2L5_ENST00000635918,0,2937
CCL14_ENST00000614009,0,2937
TIMM23,0,2937
TEX53,0,2937
SCYGR6,0,2937
IGKV2D-40,0,2937
RDM1,0,2937
AC243756.1,0,2937
FAM236C_ENST00000636532,0,2937
TP53TG3E,0,2937
PNRC2_ENST00000374468,0,2937
ETDA,0,2937
CDY2B_ENST00000382867,0,2937
LAMTOR5_ENST00000602858,0,2937
NPIPA8_ENST00000541810,0,2937
ETDA_ENST00000454551,0,2937
NBPF26_ENST00000615219,0,2937
NBPF26_ENST00000611702,0,2937
HNF1B_ENST00000620125,0,2937
ZNHIT3_ENST00000619730,0,2937
RNF215_ENST00000619645,0,2937
GGTLC3,0,2937
MMP28_ENST00000615136,0,2937
UBE2L5,0,2937
C12orf76_ENST00000547573,0,2937
CCL16,0,2937
CD24_ENST00000606017,0,2937
ATOX1_ENST00000522314,0,2937
FP565260.3_ENST00000623795,0,2937
LINC00672,0,2937
TEX54,0,2937
NBPF26_ENST00000609741,0,2937
GVQW3_ENST00000530460,0,2937
USP17L30,0,2937
GPR179_ENST00000621958,0,2937
SYNRG_ENST00000621136,0,2937
ZFPL1_ENST00000526791,0,2937
CCL14,0,2937
FAM236B,0,2937
ANTXRL_ENST00000622632,0,2937
MSMB,0,2937
DEFB130A,0,2937
SMIM11B_ENST00000619874,0,2937
AC009477.2,0,2937
DUX4_ENST00000570263,0,2937
PRR20C,0,2937
CT47A5,0,2937
SMN2_ENST00000614240,0,2937
AC005551.1,0,2937
RBP3,0,2937
DHRS11,0,2937
DUX4_ENST00000616166,0,2937
ATOX1_ENST00000313115,0,2937
CCL4L2_ENST00000613173,0,2937
USP17L21_ENST00000621388,0,2937
LYZL6_ENST00000618542,0,2937
AC133555.3,0,2937
ARMH2,0,2937
OR4F16,0,2937
MFSD12_ENST00000615613,0,2937
TADA2A_ENST00000620367,0,2937
PSMB3,0,2937
TUBGCP5,0,2937
SIK1B,0,2937
C12orf73_ENST00000546540,0,2937
DEFA1_ENST00000382679,0,2937
NBDY_ENST00000423617,0,2937
SPTY2D1OS_ENST00000511927,0,2937
FP565260.1,0,2937
TP53TG3E_ENST00000611321,0,2937
PIGBOS1_ENST00000567948,0,2937
C1orf232,0,2937
CBWD6_ENST00000617933,0,2937
NPIPA8,0,2937
FAM236C,0,2937
MYO19_ENST00000621344,0,2937
NBDY_ENST00000637096,0,2937
GGNBP2,0,2937
VPS35_ENST00000640313,0,2937
RDM1_ENST00000613308,0,2937
CT45A2,0,2937
SPATA31A5,0,2937
U2AF1L5_ENST00000619610,0,2937
TBC1D3H,0,2937
C17orf50_ENST00000604830,0,2937
GAS2L2_ENST00000618498,0,2937
BPY2B_ENST00000615850,0,2937
AP002347.1,0,2937
GGNBP2_ENST00000611219,0,2937
USP17L25_ENST00000621472,0,2937
PMIS2_ENST00000646476,0,2937
ETDB,0,2937
FLII_ENST00000628188,0,2937
CRYAA2_ENST00000624019,0,2937
SCX,0,2937
MRM1,0,2937
C17orf98,0,2937
CCL23,0,2937
AC233724.20,0,2937
MMP28_ENST00000612672,0,2937
TBC1D3I_ENST00000616671,0,2937
DUSP14_ENST00000613659,0,2937
SCYGR8,0,2937
EOGT_ENST00000615922,0,2937
CT47A9,0,2937
CDY2A_ENST00000250838,0,2937
SMIM27_ENST00000453396,0,2937
INAFM2,0,2937
TBC1D3K,0,2937
CT45A5_ENST00000617203,0,2937
AC073111.5_ENST00000642087,0,2937
OST4_ENST00000429985,0,2937
U2AF1L5_ENST00000623375,0,2937
NBPF19_ENST00000578189,0,2937
TAF15,0,2937
SMN2_ENST00000380741,0,2937
CT45A1,0,2937
AL672043.1,0,2937
C11orf91,0,2937
TP53TG3F,0,2937
CWC25,0,2937
CT45A8,0,2937
ZNF488_ENST00000591025,0,2937
